Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL1276308,MIFEPRISTONE,4,429.6,1,5.41,5,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,IC50,'=',8.7,nM,8.06,,,UO_0000065,18.76,0.34,2.65,19.88,0,CHEMBL4194561,Displacement of fluormone RED from human full length glucocorticoid receptor after 4 hrs by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4190372,1,Scientific Literature,J Med Chem,2018,None,,,,8.7
CHEMBL131,PREDNISOLONE,4,360.45,0,1.56,Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,IC50,'=',7,nM,8.15,,,UO_0000065,22.62,0.43,6.59,8.6,1,CHEMBL4194561,Displacement of fluormone RED from human full length glucocorticoid receptor after 4 hrs by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4190372,1,Scientific Literature,J Med Chem,2018,None,,,,7
CHEMBL4202668,,None,506.55,1,4.88,24,C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(=O)n(CC3CC3)c2)c1)c1ccccc1,IC50,'=',4.4,nM,8.36,,,UO_0000065,16.5,0.31,3.48,10.69,0,CHEMBL4194561,Displacement of fluormone RED from human full length glucocorticoid receptor after 4 hrs by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4190372,1,Scientific Literature,J Med Chem,2018,None,,,,4.4
CHEMBL4211898,,None,528.99,2,5.29,27,CC(C)[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(=O)n(C)c2)c1)c1cccc(Cl)c1,IC50,'=',2.6,nM,8.59,,,UO_0000065,16.23,0.32,3.3,10.99,0,CHEMBL4194561,Displacement of fluormone RED from human full length glucocorticoid receptor after 4 hrs by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4190372,1,Scientific Literature,J Med Chem,2018,None,,,,2.6
CHEMBL4217184,,None,485.26,0,3.15,38,N#Cc1ccc(O[C@H](c2cnc(C3CC3)nc2)[C@H](CO)NC(=O)C(F)(F)F)c(Br)c1,IC50,'=',42,nM,7.38,,,UO_0000065,15.2,0.34,4.23,6.82,0,CHEMBL4194561,Displacement of fluormone RED from human full length glucocorticoid receptor after 4 hrs by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4190372,1,Scientific Literature,J Med Chem,2018,None,,,,42
CHEMBL4207852,MIZACORAT,2,494.54,0,4.64,15; AZD9567,CC(C)[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(=O)n(C)c2)c1)c1ccccc1,EC50,'=',11,nM,7.96,,,UO_0000065,16.09,0.3,3.32,10.18,0,CHEMBL4194562,Transactivation activity at glucocorticoid receptor (unknown origin) expressed in human ChaGoK1 cells incubated for 24 hrs by beta-galactosidase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4190372,1,Scientific Literature,J Med Chem,2018,None,,,,11
CHEMBL4209216,,None,512.53,1,4.78,17,CC(C)[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2cc(F)c(=O)n(C)c2)c1)c1ccccc1,EC50,'=',18,nM,7.75,,,UO_0000065,15.11,0.29,2.96,9.91,0,CHEMBL4194562,Transactivation activity at glucocorticoid receptor (unknown origin) expressed in human ChaGoK1 cells incubated for 24 hrs by beta-galactosidase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4190372,1,Scientific Literature,J Med Chem,2018,None,,,,18
CHEMBL4208652,,None,532.95,2,5.2,28,CC(C)[C@H](NC(=O)C(F)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(=O)n(C)c2)c1)c1cccc(Cl)c1,EC50,'=',5.6,nM,8.25,,,UO_0000065,15.48,0.3,3.05,10.56,0,CHEMBL4194562,Transactivation activity at glucocorticoid receptor (unknown origin) expressed in human ChaGoK1 cells incubated for 24 hrs by beta-galactosidase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4190372,1,Scientific Literature,J Med Chem,2018,None,,,,5.6
CHEMBL4203199,,None,494.54,0,4.88,23,CCCn1cc(-n2ncc3cc(O[C@H](c4ccccc4)[C@H](C)NC(=O)C(C)(F)F)ccc32)ccc1=O,IC50,'=',256,nM,6.59,,,UO_0000065,13.33,0.25,1.71,8.43,0,CHEMBL4194564,Antagonist activity at glucocorticoid receptor (unknown origin) expressed in human ChaGoK1 cells assessed as inhibition of dexamethasone induced transactivation incubated for 24 hrs by beta-galactosidase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4190372,1,Scientific Literature,J Med Chem,2018,None,,,,256
CHEMBL4208652,,None,532.95,2,5.2,28,CC(C)[C@H](NC(=O)C(F)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(=O)n(C)c2)c1)c1cccc(Cl)c1,IC50,'=',114,nM,6.94,,,UO_0000065,13.03,0.26,1.74,8.88,0,CHEMBL4194564,Antagonist activity at glucocorticoid receptor (unknown origin) expressed in human ChaGoK1 cells assessed as inhibition of dexamethasone induced transactivation incubated for 24 hrs by beta-galactosidase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4190372,1,Scientific Literature,J Med Chem,2018,None,,,,114
